Subject,Phase,n_beats,n_resampled,a1,a2,sigma2,zeta,omega_n,f_n,is_complex,radius,z1_abs,theta_rad,error,z1_real,z1_imag,z2_real,z2_imag
4,Stim,471,1197,-1.9672583408163833,0.9909581725520817,0.08064281863924222,0.029404056894193533,0.09828383781133422,0.09828383781133422,True,0.9954688204821295,0.9954688204821295,0.15438389141734915,,0.9836291704081916,0.1530745820643473,0.9836291704081916,-0.1530745820643473
4,Post,445,1197,-1.9703271033408987,0.9938445283751526,0.05620562639584148,0.02008069284192873,0.09785550748445217,0.09785550748445217,True,0.9969175133255271,0.9969175133255271,0.15371107171322798,,0.9851635516704494,0.1526345466636512,0.9851635516704494,-0.1526345466636512
5,Pre,331,1199,-1.9615408824531024,0.9870730238968546,0.1557667150174919,0.04053856274707623,0.10208075493920882,0.10208075493920882,True,0.9935154874972281,0.9935154874972281,0.1603480748949592,,0.9807704412265512,0.15862649688223865,0.9807704412265512,-0.15862649688223865
5,Stim,329,1195,-1.9695125235525524,0.9931417509696608,0.11000219889738377,0.02232416697657311,0.0981009905720102,0.0981009905720102,True,0.996564975789166,0.996564975789166,0.1540966756454544,,0.9847562617762763,0.15296030812624284,0.9847562617762763,-0.15296030812624284
5,Post,326,1197,-1.9679986963351817,0.9931780691120863,0.10478265711584336,0.021509950066408136,0.10127520697988603,0.10127520697988603,True,0.9965831972856488,0.9965831972856488,0.15908272311939783,,0.9839993481675908,0.15787131442362393,0.9839993481675908,-0.15787131442362393
6,Pre,359,1199,-1.9665821221849882,0.9915403444788287,0.08336001364190958,0.02680297541723916,0.10085727792029771,0.10085727792029771,True,0.9957611884778539,0.9957611884778539,0.15842624168773567,,0.9832910610924938,0.157095619462879,0.9832910610924938,-0.157095619462879
6,Stim,362,1198,-1.9705382563838563,0.9938730240056057,0.05697934047114241,0.020065819828445335,0.097473332319199,0.097473332319199,True,0.9969318050928085,0.9969318050928085,0.15311075236745605,,0.985269128191928,0.152045286140425,0.985269128191928,-0.152045286140425
6,Post,366,1193,-1.9707882384555515,0.9935505806234014,0.1003732295142322,0.021387999966311223,0.09627321305077352,0.09627321305077352,True,0.9967700741010442,0.9967700741010442,0.15122560942889754,,0.9853941192277756,0.15016327918208708,0.9853941192277756,-0.15016327918208708
7,Pre,358,1195,-1.9643775829110277,0.9880488863408442,0.16120276409537648,0.03891701387565288,0.09826481397419623,0.09826481397419623,True,0.9940064820416636,0.9940064820416636,0.15435400884385125,,0.9821887914555137,0.1528203660511302,0.9821887914555137,-0.1528203660511302
7,Stim,346,1198,-1.9701439789504862,0.9953861372944666,0.04899010854773395,0.014521599105442979,0.10135807974084754,0.10135807974084754,True,0.9976904015246745,0.9976904015246745,0.15921289934790753,,0.985071989475243,0.15817494379879884,0.985071989475243,-0.15817494379879884
