time_s,raw,expanding_mean,rm_90s
240.937500,-0.801554,-0.520483,-0.319580
241.406250,-0.804650,-0.521215,-0.321524
241.875000,-0.807650,-0.521952,-0.323513
242.343750,-0.810558,-0.522692,-0.325546
242.812500,-0.813377,-0.523435,-0.327622
243.281250,-0.816111,-0.524182,-0.329743
243.750000,-0.818762,-0.524931,-0.331907
244.218750,-0.821335,-0.525684,-0.334115
244.687500,-0.823832,-0.526438,-0.336366
245.156250,-0.826256,-0.527196,-0.338660
245.625000,-0.828610,-0.527955,-0.340997
246.093750,-0.830895,-0.528716,-0.343377
246.562500,-0.833115,-0.529479,-0.345800
247.031250,-0.835271,-0.530243,-0.348265
247.500000,-0.837365,-0.531009,-0.350773
247.968750,-0.839399,-0.531776,-0.353323
248.437500,-0.841375,-0.532545,-0.355915
248.906250,-0.843294,-0.533314,-0.358550
249.375000,-0.845157,-0.534084,-0.361226
249.843750,-0.846967,-0.534854,-0.363945
250.312500,-0.848724,-0.535626,-0.366705
250.781250,-0.850429,-0.536397,-0.369506
251.250000,-0.852083,-0.537169,-0.372348
251.718750,-0.853688,-0.537941,-0.375232
252.187500,-0.855243,-0.538713,-0.378156
252.656250,-0.856750,-0.539485,-0.381121
253.125000,-0.858209,-0.540257,-0.384126
253.593750,-0.859620,-0.541028,-0.387171
254.062500,-0.860984,-0.541799,-0.390255
254.531250,-0.862302,-0.542570,-0.393378
255.000000,-0.863574,-0.543339,-0.396540
255.468750,-0.864799,-0.544108,-0.399740
255.937500,-0.865978,-0.544877,-0.402978
256.406250,-0.867112,-0.545644,-0.406254
256.875000,-0.868200,-0.546410,-0.409566
257.343750,-0.869243,-0.547175,-0.412914
257.812500,-0.870239,-0.547939,-0.416298
258.281250,-0.871190,-0.548701,-0.419717
258.750000,-0.872095,-0.549462,-0.423170
259.218750,-0.872954,-0.550221,-0.426657
259.687500,-0.873766,-0.550979,-0.430177
260.156250,-0.874532,-0.551735,-0.433729
260.625000,-0.875251,-0.552489,-0.437313
261.093750,-0.875924,-0.553241,-0.440927
261.562500,-0.876549,-0.553991,-0.444571
262.031250,-0.877126,-0.554739,-0.448245
262.500000,-0.877655,-0.555485,-0.451946
262.968750,-0.878136,-0.556229,-0.455675
263.437500,-0.878568,-0.556970,-0.459431
263.906250,-0.878951,-0.557708,-0.463212
264.375000,-0.879284,-0.558444,-0.467019
264.843750,-0.879568,-0.559177,-0.470849
265.312500,-0.879801,-0.559908,-0.474702
265.781250,-0.879983,-0.560635,-0.478577
266.250000,-0.880114,-0.561359,-0.482473
266.718750,-0.880194,-0.562081,-0.486389
267.187500,-0.880222,-0.562799,-0.490324
267.656250,-0.880197,-0.563514,-0.494278
268.125000,-0.880120,-0.564225,-0.498249
268.593750,-0.879990,-0.564933,-0.502236
269.062500,-0.879806,-0.565638,-0.506238
269.531250,-0.879569,-0.566338,-0.510255
270.000000,-0.879279,-0.567035,-0.514286
270.468750,-0.878934,-0.567728,-0.518329
270.937500,-0.878535,-0.568418,-0.522383
271.406250,-0.878083,-0.569103,-0.526448
271.875000,-0.877576,-0.569784,-0.530523
272.343750,-0.877015,-0.570460,-0.534607
272.812500,-0.876401,-0.571133,-0.538699
273.281250,-0.875732,-0.571801,-0.542797
273.750000,-0.875011,-0.572464,-0.546902
274.218750,-0.874236,-0.573123,-0.551012
274.687500,-0.873409,-0.573777,-0.555127
275.156250,-0.872531,-0.574427,-0.559245
275.625000,-0.871601,-0.575071,-0.563365
276.093750,-0.870621,-0.575711,-0.567488
276.562500,-0.869591,-0.576346,-0.571611
277.031250,-0.868513,-0.576976,-0.575735
277.500000,-0.867388,-0.577600,-0.579858
277.968750,-0.866218,-0.578219,-0.583979
278.437500,-0.865003,-0.578834,-0.588098
278.906250,-0.863745,-0.579442,-0.592214
279.375000,-0.862446,-0.580046,-0.596327
279.843750,-0.861108,-0.580644,-0.600434
280.312500,-0.859733,-0.581236,-0.604536
280.781250,-0.858323,-0.581823,-0.608632
281.250000,-0.856880,-0.582405,-0.612721
281.718750,-0.855407,-0.582981,-0.616801
282.187500,-0.853905,-0.583551,-0.620873
282.656250,-0.852378,-0.584116,-0.624936
283.125000,-0.850828,-0.584675,-0.628988
283.593750,-0.849258,-0.585229,-0.633029
284.062500,-0.847671,-0.585777,-0.637057
284.531250,-0.846069,-0.586319,-0.641072
285.000000,-0.844457,-0.586855,-0.645074
285.468750,-0.842836,-0.587387,-0.649060
285.937500,-0.841211,-0.587912,-0.653030
286.406250,-0.839583,-0.588432,-0.656984
286.875000,-0.837957,-0.588947,-0.660919
287.343750,-0.836336,-0.589456,-0.664835
287.812500,-0.834722,-0.589959,-0.668731
288.281250,-0.833120,-0.590457,-0.672605
288.750000,-0.831532,-0.590950,-0.676456
289.218750,-0.829961,-0.591438,-0.680284
289.687500,-0.828411,-0.591921,-0.684086
290.156250,-0.826884,-0.592398,-0.687862
290.625000,-0.825384,-0.592871,-0.691609
291.093750,-0.823914,-0.593339,-0.695328
291.562500,-0.822476,-0.593802,-0.699015
292.031250,-0.821074,-0.594260,-0.702671
292.500000,-0.819709,-0.594713,-0.706293
292.968750,-0.818385,-0.595163,-0.709879
293.437500,-0.817104,-0.595607,-0.713430
293.906250,-0.815868,-0.596048,-0.716942
294.375000,-0.814681,-0.596484,-0.720414
294.843750,-0.813543,-0.596917,-0.723846
295.312500,-0.812456,-0.597345,-0.727235
295.781250,-0.811424,-0.597770,-0.730580
296.250000,-0.810447,-0.598191,-0.733880
296.718750,-0.809527,-0.598609,-0.737133
297.187500,-0.808666,-0.599023,-0.740338
297.656250,-0.807865,-0.599434,-0.743494
298.125000,-0.807126,-0.599842,-0.746600
298.593750,-0.806449,-0.600247,-0.749653
299.062500,-0.805836,-0.600650,-0.752654
299.531250,-0.805287,-0.601049,-0.755601
300.000000,-0.804803,-0.601447,-0.758494
300.468750,-0.804385,-0.601841,-0.761330
300.937500,-0.804033,-0.602234,-0.764110
